D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
20.0,35.0,36.0,47.0,50.0,5.0,4.378370221957364e-11,23.85175946323436,243,1.0428384686508068e-08,18.378734451786862,4.805199610394414e-08,16.85098216016728,474749,No,21.983562432614765,2006-07-15,0,0,0.018248978937609666,0.007475869297023189,0.025354350910026427,0.019701346415838625,0.04255136749241676,0.01509907302964503,0.0
18.0,19.0,30.0,31.0,33.0,15.0,1.1527836542145313e-09,20.581086250546978,244,7.110365816374792e-09,18.761712143487898,2.516277801095285e-07,15.19531490442542,386772,No,22.34919990866783,2006-07-12,0,0,0.02772504418608188,0.0454690068043375,0.03978823906656737,0.03974949974812415,0.01791803050753786,0.032268846205363425,0.0
32.0,37.0,44.0,49.0,50.0,13.0,1.6691328518714025e-13,29.421301967727498,245,5.57554588330709e-10,21.307460701099494,2.248833417664587e-07,15.307684050237722,426690,No,24.763287481512585,2006-07-08,0,0,0.00026381218892185677,0.004771457939896616,0.007337719000088432,0.01449129665005113,0.04255136749241676,0.029306442494868957,-0.8421126824854315
26.0,39.0,41.0,52.0,53.0,20.0,9.863968256601742e-13,27.644717661171796,246,1.1909709886720605e-09,20.548496905667527,1.7410731696445982e-07,15.563593963689167,320674,No,24.071259753735077,2006-07-05,0,0,0.003176957119353451,0.0028979045875845316,0.012725296795817296,0.008343005121477459,0.02776205106582944,0.036350823285534316,-0.8421126824854315
2.0,31.0,35.0,40.0,42.0,34.0,8.144109160653675e-10,20.928556066409044,247,5.1642131639739546e-08,16.77892799297136,3.8179783407615914e-08,17.080959691592717,343275,No,20.436997499188728,2006-07-01,0,0,0.040736578400239365,0.015812977287601476,0.028122918451860164,0.03931958141109403,0.05678684677114263,0.020133921140053742,-0.8421126824854315
2.0,8.0,16.0,45.0,51.0,32.0,5.345128140652319e-10,21.34966541182148,248,1.548177669644695e-07,15.681017108704495,2.7709722698829447e-08,17.40148248538145,296315,No,19.426742709432787,2006-06-28,0,0,0.040736578400239365,0.024915547327391128,0.023041217596492435,0.025509990880840695,0.03762569046637224,0.023812387094146525,-0.8421126824854315
8.0,11.0,30.0,39.0,47.0,23.0,7.208756950103503e-09,18.74796930687891,249,1.2439127664379884e-07,15.899833782542228,1.9440789576004153e-08,17.75589242268933,346024,No,19.622732530078157,2006-06-24,0,0,0.06534692674600528,0.03407127067432252,0.03978823906656737,0.04133404460831715,0.054808884872159847,0.03591974923988435,-0.8421126824854315
11.0,19.0,22.0,43.0,45.0,34.0,4.073818517243746e-09,19.318685066711407,250,7.100847409725575e-08,16.46046661354468,2.516277801095285e-08,17.497899997419466,282840,No,20.156311881123393,2006-06-21,0,0,0.06270280909279832,0.0454690068043375,0.03829445473990349,0.031459399951008334,0.05890938979751049,0.020133921140053742,-0.8421126824854315
10.0,20.0,22.0,39.0,48.0,25.0,8.093856241240241e-09,18.63216055180191,251,9.708036321143369e-08,16.147726714732897,1.7814832629647444e-08,17.843234432844483,571044,Yes,19.84560229939695,2006-06-17,1,14,0.06489281970539651,0.04457900699444933,0.03829445473990349,0.04133404460831715,0.05135665930901029,0.03441817917565507,-0.8421126824854315
4.0,14.0,15.0,40.0,48.0,12.0,2.4492947489614547e-09,19.82746571139547,252,1.1797212971380751e-07,15.952817429243767,1.7715419501133783e-08,17.8488304183486,440714,No,19.662565826490354,2006-06-14,0,0,0.05177488215685684,0.04166815682601187,0.020341664444093577,0.03931958141109403,0.05135665930901029,0.027639202321973158,0.0
